Names,Unnamed: 0,Rank,Fantrax,ESPN,Average Rank
Anthony Davis,,1,2.0,3.0,2.0
Stephen Curry,,2,9.0,6.0,5.666666666666667
James Harden,,3,4.0,5.0,4.0
Giannis Antetokounmpo,,4,3.0,1.0,2.6666666666666665
Karl-Anthony Towns,,5,1.0,2.0,2.6666666666666665
Nikola Jokic,,6,5.0,4.0,5.0
Damian Lillard,,7,15.0,13.0,11.666666666666666
Joel Embiid,,8,16.0,12.0,12.0
LeBron James,,9,7.0,7.0,7.666666666666667
Kawhi Leonard,,10,28.0,32.0,23.333333333333332
Bradley Beal,,11,12.0,11.0,11.333333333333334
Kyrie Irving,,12,25.0,25.0,20.666666666666668
Paul George,,13,27.0,33.0,24.333333333333332
Jimmy Butler,,14,36.0,18.0,22.666666666666668
Russell Westbrook,,15,6.0,14.0,11.666666666666666
Kemba Walker,,16,19.0,51.0,28.666666666666668
Jrue Holiday,,17,18.0,29.0,21.333333333333332
Luka Doncic,,18,11.0,17.0,15.333333333333334
Trae Young,,19,13.0,38.0,23.333333333333332
Rudy Gobert,,20,14.0,15.0,16.333333333333332
Andre Drummond,,21,8.0,8.0,12.333333333333334
Nikola Vucevic,,22,20.0,20.0,20.666666666666668
Myles Turner,,23,43.0,75.0,47.0
Devin Booker,,24,24.0,41.0,29.666666666666668
Deandre Ayton,,25,23.0,16.0,21.333333333333332
Mitchell Robinson,,26,40.0,47.0,37.666666666666664
Ben Simmons,,27,10.0,9.0,15.333333333333334
Donovan Mitchell,,28,26.0,39.0,31.0
Chris Paul,,29,60.0,63.0,50.666666666666664
John Collins,,30,21.0,19.0,23.333333333333332
De'Aaron Fox,,31,17.0,30.0,26.0
Kristaps Porzingis,,32,62.0,42.0,45.333333333333336
Zion Williamson,,33,31.0,26.0,30.0
Draymond Green,,34,42.0,36.0,37.333333333333336
Pascal Siakam,,35,52.0,10.0,32.333333333333336
Otto Porter Jr.,,36,36.0,46.0,39.333333333333336
Robert Covington,,37,72.0,102.0,70.33333333333333
D'Angelo Russell,,38,22.0,64.0,41.333333333333336
Buddy Hield,,39,51.0,43.0,44.333333333333336
Kevin Love,,40,73.0,44.0,52.333333333333336
Lauri Markkanen,,41,53.0,50.0,48.0
Mike Conley,,42,66.0,69.0,59.0
DeMar DeRozan,,43,32.0,24.0,33.0
LaMarcus Aldridge,,44,33.0,22.0,33.0
Jaren Jackson Jr.,,45,45.0,61.0,50.333333333333336
Clint Capela,,46,37.0,23.0,35.333333333333336
Jayson Tatum,,47,58.0,35.0,46.666666666666664
Khris Middleton,,48,50.0,56.0,51.333333333333336
C.J. McCollum,,49,49.0,49.0,49.0
Blake Griffin,,50,44.0,37.0,43.666666666666664
Derrick Favors,,51,39.0,54.0,48.0
Bam Adebayo,,52,34.0,62.0,49.333333333333336
Zach LaVine,,53,35.0,77.0,55.0
Kyle Lowry,,54,61.0,65.0,60.0
Eric Bledsoe,,55,56.0,57.0,56.0
Tobias Harris,,56,67.0,28.0,50.333333333333336
Brook Lopez,,57,88.0,106.0,83.66666666666667
Danilo Gallinari,,58,64.0,68.0,63.333333333333336
Al Horford,,59,78.0,71.0,69.33333333333333
Thomas Bryant,,60,54.0,40.0,51.333333333333336
Victor Oladipo,,61,146.0,149.0,118.66666666666667
Jonas Valanciunas,,62,38.0,31.0,43.666666666666664
Julius Randle,,63,30.0,21.0,38.0
Terry Rozier,,64,64.0,34.0,54.0
Jamal Murray,,65,70.0,52.0,62.333333333333336
Malcolm Brogdon,,66,81.0,66.0,71.0
Aaron Gordon,,67,59.0,87.0,71.0
Steven Adams,,68,63.0,45.0,58.666666666666664
Josh Richardson,,69,96.0,117.0,94.0
Larry Nance Jr.,,70,70.0,99.0,79.66666666666667
Lonzo Ball,,71,79.0,72.0,74.0
Marc Gasol,,72,82.0,81.0,78.33333333333333
Hassan Whiteside,,73,48.0,48.0,56.333333333333336
Jonathan Isaac,,74,45.0,105.0,74.66666666666667
Marvin Bagley III,,75,41.0,49.0,55.0
Ja Morant,,76,57.0,94.0,75.66666666666667
Gordon Hayward,,77,94.0,84.0,85.0
Domantas Sabonis,,78,49.0,59.0,62.0
Shai Gilgeous-Alexander,,79,55.0,93.0,75.66666666666667
Ricky Rubio,,80,76.0,53.0,69.66666666666667
Wendell Carter Jr.,,81,81.0,95.0,85.66666666666667
Montrezl Harrell,,82,74.0,27.0,61.0
Kelly Oubre Jr.,,83,83.0,100.0,88.66666666666667
Miles Bridges,,84,69.0,92.0,81.66666666666667
Lou Williams,,85,83.0,76.0,81.33333333333333
Jeff Teague,,86,85.0,89.0,86.66666666666667
Jarrett Allen,,87,92.0,67.0,82.0
Marcus Smart,,88,97.0,164.0,116.33333333333333
Caris LeVert,,89,77.0,107.0,91.0
Enes Kanter,,90,103.0,55.0,82.66666666666667
Kyle Kuzma,,91,113.0,86.0,96.66666666666667
Joe Ingles,,92,102.0,85.0,93.0
Dewayne Dedmon,,93,126.0,90.0,103.0
Fred VanVleet,,94,95.0,191.0,126.66666666666667
Dejounte Murray,,95,90.0,134.0,106.33333333333333
Jeremy Lamb,,96,91.0,83.0,90.0
DeAndre Jordan,,97,122.0,60.0,93.0
Mikal Bridges,,98,118.0,184.0,133.33333333333334
DeMarcus Cousins,,99,99.0,99.0,99.0
Delon Wright,,100,86.0,133.0,106.33333333333333
T.J. Warren,,101,101.0,125.0,109.0
Gary Harris,,102,98.0,147.0,115.66666666666667
Derrick White,,103,84.0,108.0,98.33333333333333
Serge Ibaka,,104,93.0,78.0,91.66666666666667
Andrew Wiggins,,105,75.0,96.0,92.0
JaVale McGee,,106,80.0,135.0,107.0
Terrence Ross,,107,131.0,110.0,116.0
J.J. Redick,,108,108.0,108.0,108.0
Nicolas Batum,,109,129.0,129.0,122.33333333333333
RJ Barrett,,110,115.0,88.0,104.33333333333333
Brandon Ingram,,111,89.0,151.0,117.0
Danny Green,,112,120.0,171.0,134.33333333333334
Willie Cauley-Stein,,113,134.0,74.0,107.0
Bogdan Bogdanovic,,114,110.0,142.0,122.0
Kevin Huerter,,115,125.0,120.0,120.0
Bojan Bogdanovic,,116,140.0,70.0,108.66666666666667
Cody Zeller,,117,121.0,159.0,132.33333333333334
Paul Millsap,,118,143.0,82.0,114.33333333333333
Dwight Powell,,119,112.0,73.0,101.33333333333333
Alex Len,,120,109.0,136.0,121.66666666666667
Jaylen Brown,,121,114.0,132.0,122.33333333333333
Davis Bertans,,122,138.0,122.0,127.33333333333333
Patrick Beverley,,123,100.0,123.0,115.33333333333333
Kevon Looney,,124,107.0,124.0,118.33333333333333
Brandon Clarke,,125,137.0,125.0,129.0
Klay Thompson,,126,126.0,126.0,126.0
Kevin Durant,,127,127.0,127.0,127.0
Collin Sexton,,128,105.0,128.0,120.33333333333333
Tomas Satoransky,,129,99.0,146.0,124.66666666666667
Rudy Gay,,130,136.0,101.0,122.33333333333333
Thaddeus Young,,131,104.0,119.0,118.0
Eric Gordon,,132,132.0,185.0,149.66666666666666
Dario Saric,,133,108.0,80.0,107.0
Kelly Olynyk,,134,123.0,130.0,129.0
Joe Harris,,135,139.0,121.0,131.66666666666666
P.J. Tucker,,136,136.0,136.0,136.0
Harrison Barnes,,137,137.0,109.0,127.66666666666667
Marvin Williams,,138,138.0,165.0,147.0
Zach Collins,,139,111.0,104.0,118.0
Andre Iguodala,,140,140.0,140.0,140.0
Goran Dragic,,141,141.0,123.0,135.0
Justise Winslow,,142,119.0,124.0,128.33333333333334
Evan Fournier,,143,130.0,114.0,129.0
Kyle Anderson,,144,145.0,153.0,147.33333333333334
Spencer Dinwiddie,,145,116.0,122.0,127.66666666666667
Boban Marjanovic,,146,146.0,146.0,146.0
Mohamed Bamba,,147,147.0,147.0,147.0
Maxi Kleber,,148,148.0,148.0,148.0
Derrick Rose,,149,149.0,179.0,159.0
Cam Reddish,,150,150.0,150.0,150.0
Coby White,,151,151.0,174.0,158.66666666666666
Cedi Osman,,152,117.0,155.0,141.33333333333334
Jerami Grant,,153,133.0,180.0,155.33333333333334
Kentavious Caldwell-Pope,,154,154.0,166.0,158.0
Tristan Thompson,,155,155.0,112.0,140.66666666666666
Meyers Leonard,,156,156.0,197.0,169.66666666666666
Tyler Herro,,157,157.0,168.0,160.66666666666666
Dennis Smith Jr.,,158,158.0,140.0,152.0
Seth Curry,,159,159.0,159.0,159.0
Rui Hachimura,,160,128.0,139.0,142.33333333333334
Elfrid Payton,,161,161.0,161.0,161.0
Rajon Rondo,,162,162.0,145.0,156.33333333333334
Kenneth Faried,,163,163.0,163.0,163.0
Wesley Matthews,,164,164.0,183.0,170.33333333333334
Dennis Schroder,,165,165.0,111.0,147.0
OG Anunoby,,166,166.0,193.0,175.0
Kris Dunn,,167,167.0,167.0,167.0
Isaiah Thomas,,168,150.0,168.0,162.0
Kevin Knox,,169,169.0,163.0,167.0
Trevor Ariza,,170,170.0,170.0,170.0
Jusuf Nurkic,,171,171.0,171.0,171.0
Ivica Zubac,,172,144.0,186.0,167.33333333333334
Mason Plumlee,,173,173.0,103.0,149.66666666666666
Jordan Clarkson,,174,174.0,98.0,148.66666666666666
Landry Shamet,,175,175.0,175.0,175.0
Robert Williams III,,176,176.0,176.0,176.0
Jabari Parker,,177,177.0,177.0,177.0
Luke Kennard,,178,141.0,172.0,163.66666666666666
Bobby Portis,,179,179.0,115.0,157.66666666666666
Norman Powell,,180,180.0,190.0,183.33333333333334
Jaxson Hayes,,181,181.0,160.0,174.0
Jakob Poeltl,,182,132.0,167.0,160.33333333333334
Tim Hardaway Jr.,,183,183.0,154.0,173.33333333333334
Reggie Jackson,,184,142.0,137.0,154.33333333333334
Ish Smith,,185,185.0,182.0,184.0
Kent Bazemore,,186,186.0,189.0,187.0
Monte Morris,,187,187.0,187.0,187.0
Marcus Morris,,188,188.0,188.0,188.0
D.J. Augustin,,189,124.0,131.0,148.0
Jarrett Culver,,190,101.0,118.0,136.33333333333334
De'Andre Hunter,,191,191.0,91.0,157.66666666666666
Darius Garland,,192,192.0,141.0,175.0
Will Barton,,193,193.0,113.0,166.33333333333334
Taurean Prince,,194,135.0,150.0,159.66666666666666
Malik Monk,,195,148.0,187.0,176.66666666666666
Nerlens Noel,,196,196.0,196.0,196.0
Jae Crowder,,197,197.0,152.0,182.0
Al-Farouq Aminu,,198,198.0,97.0,164.33333333333334
JaMychal Green,,199,199.0,199.0,199.0
Troy Brown Jr.,,200,200.0,157.0,185.66666666666666
James Johnson,,201,201.0,127.0,176.33333333333334
Rodions Kurucs,,202,202.0,143.0,182.33333333333334
Jeff Green,,203,203.0,126.0,177.33333333333334
Tyus Jones,,204,204.0,204.0,204.0
Rodney Hood,,205,205.0,181.0,197.0
Nemanja Bjelica,,206,206.0,116.0,176.0
Michael Kidd-Gilchrist,,207,207.0,199.0,204.33333333333334
George Hill,,208,208.0,200.0,205.33333333333334
Maurice Harkless,,209,209.0,209.0,209.0
Gorgui Dieng,,210,210.0,195.0,205.0
Bruce Brown Jr.,,211,211.0,211.0,211.0
Harry Giles,,212,212.0,212.0,212.0
Malik Beasley,,213,213.0,213.0,213.0
Aaron Holiday,,214,214.0,144.0,190.66666666666666
Danuel House Jr,,215,215.0,215.0,215.0
Tyler Johnson,,216,216.0,216.0,216.0
Dwayne Bacon,,217,217.0,217.0,217.0
Josh Jackson,,218,218.0,218.0,218.0
Cory Joseph,,219,219.0,219.0,219.0
Taj Gibson,,220,220.0,177.0,205.66666666666666
Goga Bitadze,,221,221.0,221.0,221.0
Dion Waiters,,222,222.0,222.0,222.0
Noah Vonleh,,223,223.0,223.0,223.0
Pat Connaughton,,224,224.0,224.0,224.0
Dillon Brooks,,225,225.0,225.0,225.0
Robin Lopez,,226,226.0,178.0,210.0
Josh Okogie,,227,227.0,227.0,227.0
Royce O'Neale,,228,228.0,228.0,228.0
Moritz Wagner,,229,229.0,229.0,229.0
Jordan Bell,,230,230.0,230.0,230.0
TJ McConnell,,231,231.0,231.0,231.0
Denzel Valentine,,232,232.0,232.0,232.0
Derrick Jones Jr.,,233,233.0,233.0,233.0
Tony Snell,,234,234.0,234.0,234.0
Grant Williams,,235,235.0,235.0,235.0
Nickeil Alexander-Walker,,236,236.0,138.0,203.33333333333334
Alfonzo McKinnie,,237,237.0,237.0,237.0
Daniel Theis,,238,238.0,238.0,238.0
Gerald Green,,239,239.0,239.0,239.0
CJ Miles,,240,240.0,240.0,240.0
Kyle O'Quinn,,241,241.0,241.0,241.0
Mario Hezonja,,242,242.0,242.0,242.0
Dylan Windler,,243,243.0,243.0,243.0
Matisse Thybulle,,244,244.0,244.0,244.0
DeAndre' Bembry,,245,245.0,245.0,245.0
Richaun Holmes,,246,246.0,175.0,222.33333333333334
Stanley Johnson,,247,247.0,247.0,247.0
Shabazz Napier,,248,248.0,248.0,248.0
Chris Boucher,,249,249.0,194.0,230.66666666666666
P.J. Washington,,250,250.0,250.0,250.0
Aron Baynes,,251,251.0,251.0,251.0
Mike Muscala,,252,252.0,252.0,252.0
Jahlil Okafor,,253,253.0,253.0,253.0
Josh Hart,,254,254.0,254.0,254.0
Bruno Fernando,,255,255.0,255.0,255.0
De'Anthony Melton,,256,256.0,256.0,256.0
Dorian Finney-Smith,,257,257.0,257.0,257.0
Justin Holiday,,258,258.0,258.0,258.0
Cameron Johnson,,259,259.0,259.0,259.0
Andre Roberson,,260,260.0,260.0,260.0
Bryn Forbes,,261,261.0,261.0,261.0
Chuma Okeke,,262,262.0,262.0,262.0
Sekou Doumbouya,,263,263.0,263.0,263.0
Carsen Edwards,,264,264.0,264.0,264.0
E'Twaun Moore,,265,265.0,265.0,265.0
Romeo Langford,,266,266.0,266.0,266.0
Nassir Little,,267,267.0,267.0,267.0
Reggie Bullock,,268,268.0,268.0,268.0
Bruno Caboclo,,269,269.0,269.0,269.0
Wayne Ellington,,270,270.0,270.0,270.0
Kevin Porter Jr.,,271,271.0,271.0,271.0
Ty Jerome,,272,272.0,272.0,272.0
Admiral Schofield,,273,273.0,273.0,273.0
Bol Bol,,274,274.0,274.0,274.0
Keldon Johnson,,275,275.0,275.0,275.0
Daniel Gafford,,276,276.0,276.0,276.0
Ignas Brazdeikis,,277,277.0,277.0,277.0
