Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
ATL,24.210344827586212,31.748275862068958,20.137931034482754,22.15862068965517,5.013793103448276,5.979310344827588,48.331034482758625,38.293103448275865,38.5344827586207,66.34827586206896,52.04482758620689,55.71379310344827
BKN,23.92413793103448,24.86896551724138,24.682758620689654,22.23793103448276,6.617241379310345,7.375862068965517,47.310344827586206,35.4551724137931,38.82413793103448,62.606896551724134,54.168965517241375,51.69310344827586
BOS,21.837931034482757,29.134482758620692,18.882758620689653,21.724137931034484,6.2586206896551735,7.248275862068965,46.10344827586208,36.87586206896552,36.11724137931035,64.78275862068966,45.393103448275866,61.779310344827586
CHA,24.762068965517237,28.94482758620689,22.19310344827586,22.055172413793105,6.020689655172415,6.965517241379311,51.75172413793105,38.02068965517241,40.32758620689654,64.98965517241379,44.38275862068966,55.18620689655172
CHI,21.806896551724137,30.87586206896552,19.41724137931034,22.02758620689655,6.913793103448276,6.624137931034483,49.01724137931034,39.1896551724138,36.23103448275862,63.80344827586207,49.59655172413793,61.79655172413793
CLE,24.903448275862072,27.941379310344825,20.93103448275862,21.603448275862068,5.33448275862069,6.358620689655172,52.975862068965505,39.210344827586205,40.58275862068966,68.44137931034483,49.08275862068965,61.88620689655173
DAL,23.96206896551724,27.544827586206896,20.599999999999998,19.696551724137933,7.203448275862069,6.096551724137932,48.50344827586206,36.69655172413793,35.96896551724138,63.13793103448276,48.165517241379305,56.758620689655174
DEN,22.58275862068965,27.748275862068958,17.46206896551724,19.63103448275862,5.137931034482759,6.527586206896552,49.88620689655173,36.46896551724138,34.66551724137931,60.86551724137931,44.99310344827587,54.813793103448276
DET,25.048275862068966,23.4103448275862,18.606896551724134,19.49310344827586,4.248275862068965,6.996551724137931,49.017241379310335,36.07931034482758,37.93793103448276,63.806896551724144,44.95172413793103,56.213793103448275
GSW,24.810344827586206,27.024137931034485,20.703448275862073,20.486206896551725,6.072413793103449,5.793103448275864,44.78965517241379,35.86551724137931,36.141379310344824,62.44137931034482,42.620689655172406,53.01379310344827
HOU,25.56206896551724,25.168965517241375,17.213793103448275,21.12758620689655,8.072413793103449,5.472413793103449,50.282758620689656,36.203448275862065,35.282758620689656,63.17586206896552,48.48620689655172,56.206896551724135
IND,21.296551724137927,28.637931034482758,17.082758620689653,20.724137931034484,5.041379310344827,6.0793103448275865,44.4103448275862,37.01724137931034,34.762068965517244,64.34827586206896,44.95862068965516,58.213793103448275
LAC,25.127586206896552,25.579310344827583,21.472413793103442,22.4551724137931,6.358620689655172,7.113793103448276,44.48620689655172,36.44827586206897,36.51379310344827,64.67586206896553,45.40689655172414,54.65172413793104
LAL,23.682758620689654,30.331034482758618,19.79310344827586,21.92758620689655,5.755172413793105,7.30344827586207,45.806896551724144,37.199999999999996,35.93103448275862,63.12413793103448,44.720689655172414,59.710344827586205
MEM,22.72758620689655,30.496551724137927,17.151724137931037,17.051724137931036,4.568965517241379,6.024137931034483,47.241379310344826,37.820689655172416,36.30344827586207,61.63103448275861,46.76206896551724,54.97586206896552
MIA,22.0,30.299999999999997,20.851724137931036,19.20689655172414,3.472413793103448,6.586206896551724,44.41379310344828,37.2448275862069,38.36896551724137,61.8,46.434482758620696,50.96896551724139
MIL,23.21379310344828,34.1,24.29310344827586,17.655172413793103,3.3620689655172415,6.068965517241379,42.71724137931035,38.49310344827586,38.12413793103449,62.5103448275862,38.6448275862069,50.66206896551724
MIN,23.441379310344825,32.37931034482759,18.231034482758623,22.28965517241379,3.913793103448276,6.327586206896552,47.33103448275862,38.78275862068966,36.42413793103448,66.37931034482759,39.12758620689655,60.42758620689656
NOP,23.717241379310344,31.844827586206893,19.16551724137931,22.055172413793102,7.020689655172415,6.127586206896552,47.18620689655172,38.13103448275862,37.234482758620686,63.45862068965516,48.22758620689655,57.872413793103455
NYK,23.886206896551727,30.306896551724133,18.92413793103448,22.606896551724134,6.462068965517242,7.444827586206896,48.71724137931034,38.36896551724138,36.42413793103449,64.33448275862068,47.84827586206895,59.49655172413794
OKC,22.820689655172412,28.07586206896552,19.196551724137933,20.379310344827587,5.655172413793103,6.479310344827588,46.165517241379305,38.06896551724138,35.51724137931034,62.52758620689655,44.88965517241379,53.98620689655173
ORL,26.78965517241379,25.941379310344825,21.889655172413793,18.217241379310344,4.248275862068966,6.686206896551725,47.696551724137926,36.5551724137931,38.689655172413794,62.40689655172414,47.41724137931035,53.748275862068965
PHI,25.637931034482754,24.313793103448273,22.075862068965513,21.406896551724138,6.958620689655173,6.93448275862069,45.45862068965518,37.59655172413794,35.89655172413793,64.3344827586207,50.06896551724139,59.151724137931026
PHX,23.613793103448273,27.49655172413793,18.451724137931034,24.772413793103443,6.824137931034484,7.224137931034484,47.59655172413793,38.51724137931034,37.5,64.21034482758621,48.74827586206897,53.53793103448275
POR,26.848275862068963,27.534482758620687,21.69310344827586,19.017241379310345,5.575862068965517,6.934482758620691,46.91379310344828,37.36206896551724,36.796551724137935,65.5551724137931,49.475862068965526,55.11034482758622
SAC,25.91034482758621,28.055172413793102,19.496551724137934,19.855172413793102,6.044827586206897,6.13103448275862,50.31379310344828,35.63793103448276,35.38275862068965,63.12413793103449,49.337931034482764,57.96551724137931
SAS,24.196551724137926,29.0,23.08275862068965,18.7,4.386206896551724,6.362068965517242,48.262068965517244,37.73103448275862,39.38275862068965,66.99655172413793,48.63103448275862,55.23448275862069
TOR,24.15862068965517,27.731034482758623,20.127586206896552,19.310344827586206,4.665517241379311,7.327586206896552,46.61379310344828,36.217241379310344,37.96206896551724,61.07586206896552,44.565517241379304,55.43793103448275
UTA,26.610344827586204,23.903448275862072,22.803448275862067,16.910344827586208,5.296551724137931,6.779310344827587,45.01379310344828,36.99655172413794,38.148275862068964,58.71724137931035,52.77241379310345,50.63103448275862
WAS,23.07586206896552,29.517241379310345,20.03448275862069,23.79310344827586,6.927586206896552,6.682758620689656,49.54827586206896,39.06206896551724,37.67586206896552,64.65517241379311,55.720689655172414,57.33103448275862
