Unnamed: 0,No.,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College,TEAM,MPG
26,12,SF,6-9,205,"October 13, 1994",jp,R,George Washington,MEM,
27,2,PG,6-5,183,"April 26, 1992",us,3,Utah,MEM,
28,45,C,7-0,253,"January 17, 1990",us,6,UNC,MEM,
1,13,C,6-10,255,"July 18, 1997",us,1,Kentucky,MIA,
2,31,PF,6-10,240,"May 6, 1988",us,10,Cal,MIA,
3,7,PG,6-3,190,"May 6, 1986",si,10,,MIA,
4,2,SG,6-5,200,"November 29, 1987",us,9,UNC,MIA,
5,40,C,6-8,235,"June 9, 1980",us,15,Florida,MIA,
6,16,PF,6-8,240,"February 20, 1987",us,9,Wake Forest,MIA,
7,8,PG,6-4,190,"May 7, 1992",us,4,Fresno State,MIA,
8,5,SF,6-7,200,"February 15, 1997",us,2,UNLV,MIA,
9,0,PF,6-8,240,"August 14, 1996",us,R,Georgia,MIA,
10,17,SG,6-4,200,"July 29, 1991",us,2,Kansas State,MIA,
11,9,PF,7-0,240,"April 19, 1991",ca,5,Gonzaga,MIA,
12,0,SG,6-6,200,"September 15, 1993",us,3,Tennessee,MIA,
13,55,PF,6-8,210,"April 22, 1994",us,R,"Williams, Michigan",MIA,
14,12,PF,6-9,220,"August 21, 1996",us,R,Lincoln Memorial University,MIA,
15,3,SG,6-4,220,"January 17, 1982",us,15,Marquette,MIA,
16,11,SG,6-4,215,"December 10, 1991",us,6,Syracuse,MIA,
17,21,C,7-0,265,"June 13, 1989",us,6,Marshall,MIA,
18,20,SF,6-7,225,"March 26, 1996",us,3,Duke,MIA,
1,34,PF,6-11,242,"December 6, 1994",gr,5,,MIL,
2,6,PG,6-1,205,"December 9, 1989",us,8,Kentucky,MIL,
3,13,SG,6-5,229,"December 11, 1992",us,2,Virginia,MIL,
4,23,SG,6-6,232,"February 10, 1995",us,1,SMU,MIL,
5,7,PG,6-0,201,"May 21, 1991",us,5,Murray State,MIL,
6,50,SF,6-6,224,"January 12, 1996",us,R,Notre Dame,MIL,
7,24,SG,6-4,209,"January 6, 1993",us,3,Notre Dame,MIL,
8,8,PG,6-4,200,"September 8, 1990",au,5,Saint Mary's,MIL,
9,9,SG,6-4,203,"January 31, 1997",us,R,Villanova,MIL,
10,0,PG,6-2,189,"August 3, 1998",us,R,Duke,MIL,
11,12,PG,6-1,170,"November 1, 1990",us,4,Penn State,MIL,
12,17,C,7-0,250,"July 6, 1980",es,17,,MIL,
13,31,C,6-11,219,"December 28, 1990",us,6,UNC,MIL,
14,3,PG,6-3,188,"May 4, 1986",us,10,IUPUI,MIL,
15,77,PF,6-10,235,"May 15, 1987",tr,10,,MIL,
16,11,C,7-0,270,"April 1, 1988",us,10,Stanford,MIL,
17,7,C,7-1,221,"February 25, 1997",ss,2,,MIL,
18,22,SF,6-8,222,"August 12, 1991",us,6,Texas A&M,MIL,
19,41,PF,6-10,250,"February 11, 1991",me,4,,MIL,
20,30,SG,6-5,185,"September 19, 1995",us,1,Molloy,MIL,
21,20,PF,7-0,240,"March 2, 1986",us,10,Colorado State,MIL,
22,21,SF,6-7,213,"November 10, 1991",us,5,New Mexico,MIL,
23,5,PF,6-10,231,"February 19, 1996",us,1,Michigan,MIL,
24,35,PF,6-10,214,"September 27, 1995",us,2,UNLV,MIL,
1,31,SF,6-9,229,"January 23, 1996",us,R,Ohio State,MIN,
2,8,PG,6-3,200,"August 20, 1988",us,10,Arizona,MIN,
3,23,SG,6-8,232,"September 14, 1989",us,7,Marquette,MIN,
4,7,PG,6-0,201,"May 21, 1991",us,5,Murray State,MIN,
5,33,SF,6-9,225,"December 14, 1990",us,5,Tennessee State,MIN,
6,55,SF,6-5,216,"April 27, 1992",au,R,,MIN,
7,9,SF,6-9,237,"April 16, 1985",ss,14,Duke,MIN,
8,5,C,6-11,252,"January 18, 1990",sn,5,Louisville,MIN,
9,67,PF,6-9,232,"June 24, 1985",us,9,USC,MIN,
10,1,PG,6-2,196,"May 10, 1996",us,3,Duke,MIN,
11,7,SF,6-7,208,"July 14, 1990",us,1,"University of California, Santa Barbara",MIN,
12,20,SG,6-4,212,"September 1, 1998",ng,R,Georgia Tech,MIN,
13,13,SG,6-8,225,"February 7, 1995",us,R,Tulane,MIN,
14,25,PG,6-3,200,"October 4, 1988",us,9,Memphis,MIN,
15,36,PF,6-10,223,"April 8, 1994",hr,2,,MIN,
16,0,PG,6-2,195,"June 10, 1988",us,9,Wake Forest,MIN,
17,3,SG,6-3,227,"February 10, 1995",us,R,Rhode Island,MIN,
18,43,PF,6-8,250,"June 1, 1985",us,10,Creighton,MIN,
19,32,C,7-0,248,"November 15, 1995",us,3,Kentucky,MIN,
20,22,SF,6-8,194,"February 23, 1995",ca,4,Kansas,MIN,
21,12,SG,6-5,226,"February 6, 1990",us,1,NC State,MIN,
1,9,SG,6-4,200,"September 9, 1989",lv,R,,NOP,
2,2,SG,6-3,175,"March 7, 1991",us,5,Belmont,NOP,
3,23,C,6-10,253,"March 11, 1993",us,6,Kentucky,NOP,
4,13,PF,6-9,220,"September 13, 1996",ml,2,Kansas,NOP,
5,10,PG,6-1,170,"November 1, 1990",us,4,Penn State,NOP,
6,1,PG,6-6,213,"October 28, 1994",us,2,Kentucky,NOP,
7,44,SF,6-7,225,"March 18, 1991",us,5,Arizona,NOP,
8,11,SG,6-4,205,"June 12, 1990",us,9,UCLA,NOP,
9,15,PG,6-3,205,"May 4, 1998",us,R,Duke,NOP,
10,3,SF,6-7,245,"May 29, 1996",us,3,Arizona,NOP,
11,33,SF,6-7,215,"July 11, 1987",us,8,"Iowa State, Syracuse",NOP,
12,21,SF,6-8,225,"March 21, 1990",us,4,Kentucky,NOP,
13,3,PF,6-10,250,"February 11, 1991",me,4,,NOP,
14,55,SG,6-4,191,"February 25, 1989",us,7,Purdue,NOP,
15,8,C,6-11,275,"December 15, 1995",us,3,Duke,NOP,
16,4,PG,6-4,185,"February 22, 1994",us,4,Louisiana,NOP,
17,30,PF,6-9,250,"November 29, 1994",us,4,Kentucky,NOP,
18,14,C,7-0,240,"March 2, 1986",us,10,Colorado State,NOP,
19,34,SF,6-7,210,"December 2, 1994",us,R,TCU,NOP,
20,35,PF,6-10,214,"September 27, 1995",us,2,UNLV,NOP,
1,0,SG,6-3,192,"January 15, 1993",us,1,Arizona,NYK,
2,31,SG,6-4,220,"March 30, 1993",us,2,Wichita State,NYK,
3,23,PG,6-1,175,"November 12, 1992",us,5,Michigan,NYK,
4,21,SG,6-6,210,"May 6, 1994",us,1,"Oregon, Houston",NYK,
5,13,PF,6-11,245,"January 13, 1997",us,2,Marquette,NYK,
6,3,SG,6-6,213,"October 16, 1994",us,R,DePaul,NYK,
7,3,SG,6-6,205,"March 16, 1992",us,5,Michigan,NYK,
8,8,SF,6-8,225,"February 25, 1995",hr,3,,NYK,
9,4,PF,6-9,230,"July 24, 1994",us,1,UNC,NYK,
10,30,SG,6-4,215,"March 6, 1991",us,5,Vanderbilt,NYK,
11,6,C,6-11,265,"July 21, 1988",us,10,Texas A&M,NYK,
12,0,C,6-11,250,"May 20, 1992",ch,7,,NYK,
13,20,PF,6-9,215,"August 11, 1999",us,R,Kentucky,NYK,
14,2,PF,7-1,250,"July 15, 1995",us,1,Vanderbilt,NYK,
15,5,SG,6-5,215,"October 3, 1985",us,10,Western Kentucky,NYK,
16,23,SG,6-5,220,"October 14, 1986",us,9,Marquette,NYK,
17,1,PG,6-5,200,"March 5, 1996",cd,3,,NYK,
18,11,PG,6-6,200,"July 28, 1998",be,1,,NYK,
19,26,C,7-1,240,"April 1, 1998",us,R,Western Kentucky,NYK,
20,5,PG,6-3,195,"November 25, 1997",us,1,NC State,NYK,
21,42,PF,6-8,240,"April 24, 1988",us,7,Duke,NYK,
22,14,SG,6-5,200,"January 17, 1996",us,R,Arizona,NYK,
23,32,PF,6-9,250,"August 24, 1995",us,4,Indiana,NYK,
1,8,SG,6-6,200,"August 1, 1993",es,2,,OKC,
2,12,C,7-0,265,"July 20, 1993",nz,5,Pitt,OKC,
3,30,SG,6-5,245,"January 31, 1994",us,R,"Marquette, Iowa State",OKC,
4,34,C,6-10,266,"May 22, 1997",us,R,Texas A&M,OKC,
5,6,SG,6-5,198,"July 31, 1998",us,R,Kentucky,OKC,
6,8,PG,6-0,185,"July 26, 1996",us,1,Oklahoma State,OKC,
7,2,PG,6-1,205,"June 26, 1984",us,13,UNC,OKC,
8,23,SG,6-7,190,"May 17, 1998",us,1,,OKC,
9,13,SF,6-9,220,"May 2, 1990",us,8,Fresno State,OKC,
10,9,PF,6-9,220,"March 12, 1994",us,4,Syracuse,OKC,
11,15,SF,6-8,215,"March 19, 1995",us,R,Clemson,OKC,
12,7,SF,6-6,210,"May 9, 1995",fr,2,,OKC,
13,5,PF,6-10,245,"September 2, 1989",us,7,Kansas,OKC,
14,11,SF,6-6,225,"September 25, 1993",eg,1,"Northern Illinois, Iowa State",OKC,
15,3,C,6-11,220,"April 10, 1994",us,4,Kentucky,OKC,
16,54,PF,6-9,230,"March 14, 1989",us,8,Kentucky,OKC,
17,17,PG,6-1,172,"September 15, 1993",de,5,,OKC,
18,0,PG,6-3,200,"November 12, 1988",us,10,UCLA,OKC,
1,14,PG,6-0,183,"November 10, 1987",us,10,Texas,ORL,
2,5,C,7-0,221,"May 12, 1998",us,R,Texas,ORL,
3,24,C,6-9,233,"September 28, 1992",ca,1,"Pitt, UNLV",ORL,
4,13,PG,6-3,215,"April 13, 1996",us,R,Kentucky,ORL,
5,7,PG,6-6,190,"October 10, 1991",us,5,Syracuse,ORL,
6,3,PG,6-4,210,"November 29, 1995",us,R,Cincinnati,ORL,
7,10,SG,6-7,205,"October 29, 1992",fr,6,,ORL,
8,35,SG,6-6,200,"August 30, 1996",us,R,Tulane,ORL,
9,0,PF,6-9,220,"September 16, 1995",us,4,Arizona,ORL,
10,22,PG,6-4,205,"October 9, 1992",us,3,Notre Dame,ORL,
11,1,PF,6-10,210,"October 3, 1997",us,1,Florida State,ORL,
12,25,SF,6-7,195,"December 20, 1994",us,1,Kansas State,ORL,
13,11,PF,6-9,222,"May 7, 1993",us,R,Duke,ORL,
14,2,PF,6-10,239,"May 24, 1994",us,3,LSU,ORL,
15,31,SG,6-7,206,"February 5, 1991",us,6,Washington,ORL,
16,17,SG,6-6,195,"September 14, 1989",us,3,Houston,ORL,
17,9,C,7-0,260,"October 24, 1990",ch,7,USC,ORL,
1,43,PF,6-10,220,"January 2, 1996",au,R,UCLA,PHI,
2,0,SF,6-9,186,"March 5, 1986",us,11,Florida,PHI,
3,23,SF,6-8,232,"September 14, 1989",us,7,Marquette,PHI,
4,22,PF,6-9,225,"May 10, 1987",us,10,DePaul,PHI,
5,33,SF,6-9,225,"December 14, 1990",us,5,Tennessee State,PHI,
6,21,C,7-0,250,"March 16, 1994",cm,2,Kansas,PHI,
7,11,SF,6-7,210,"July 1, 1990",us,4,Cal State Long Beach,PHI,
8,20,SG,6-4,200,"May 29, 1998",us,1,Washington,PHI,
9,33,PF,6-9,235,"July 15, 1992",us,7,Tennessee,PHI,
10,7,SF,6-7,220,"December 9, 1996",us,R,Wheeling Jesuit University,PHI,
11,11,PG,6-1,201,"September 7, 1994",us,2,Notre Dame,PHI,
12,5,C,6-9,240,"May 1, 1987",us,13,,PHI,
13,30,SG,6-7,190,"July 24, 1997",tr,1,,PHI,
14,51,C,7-3,290,"August 15, 1988",rs,3,,PHI,
15,12,PG,6-2,190,"March 25, 1992",us,3,"Duquesne, Arizona",PHI,
16,18,SG,6-6,207,"September 26, 1996",us,R,SMU,PHI,
17,55,C,6-11,265,"June 4, 1990",us,8,Georgetown,PHI,
18,31,PF,6-11,240,"July 1, 1991",us,5,Bucknell,PHI,
19,0,C,7-0,241,"June 14, 1997",us,1,Creighton,PHI,
20,17,SG,6-4,200,"June 24, 1984",us,12,Duke,PHI,
21,9,PF,6-10,223,"April 8, 1994",hr,2,,PHI,
22,1,PF,6-8,237,"July 16, 1988",us,6,Virginia,PHI,
23,1,SG,6-5,188,"March 13, 1997",us,R,Wichita State,PHI,
24,25,PG,6-10,230,"July 20, 1996",au,1,LSU,PHI,
25,14,SF,6-6,195,"September 14, 1989",us,3,Houston,PHI,
26,8,SG,6-4,199,"June 4, 1999",us,R,Texas Tech,PHI,
1,4,PF,6-7,240,"October 6, 1990",us,6,Baylor,PHO,
2,15,PF,6-10,240,"May 6, 1988",us,10,Cal,PHO,
3,3,SF,6-8,215,"June 30, 1985",us,14,UCLA,PHO,
4,22,C,7-1,250,"July 23, 1998",bs,R,Arizona,PHO,
5,35,PF,7-1,225,"November 17, 1997",ba,2,,PHO,
6,1,SG,6-6,210,"October 30, 1996",us,3,Kentucky,PHO,
7,25,SF,6-7,210,"August 30, 1996",us,R,Villanova,PHO,
8,0,PG,6-0,201,"May 21, 1991",us,5,Murray State,PHO,
9,4,C,7-1,240,"October 2, 1982",us,17,,PHO,
10,11,SG,6-5,185,"March 20, 1980",us,18,Michigan,PHO,
11,30,SG,6-4,205,"July 15, 1991",us,5,Virginia Commonwealth,PHO,
12,0,PG,6-0,185,"July 26, 1996",us,1,Oklahoma State,PHO,
13,32,SG,6-2,195,"February 25, 1989",us,5,BYU,PHO,
14,21,C,6-10,235,"October 15, 1993",us,3,Bowling Green,PHO,
15,20,SG,6-8,200,"February 10, 1997",us,1,Kansas,PHO,
16,16,PG,6-4,190,"May 7, 1992",us,4,Fresno State,PHO,
17,8,SF,6-6,225,"January 15, 1994",us,R,Colorado,PHO,
18,14,PG,6-4,200,"May 28, 1998",us,R,USC,PHO,
19,23,PF,6-10,238,"December 24, 1991",us,3,Oregon State,PHO,
20,2,PG,6-3,190,"October 23, 1997",fr,R,,PHO,
21,3,SF,6-7,205,"December 9, 1995",us,3,Kansas,PHO,
22,26,PF,6-10,215,"March 11, 1997",us,R,Louisville,PHO,
23,10,PF,6-9,220,"August 21, 1996",us,R,Lincoln Memorial University,PHO,
24,12,SF,6-8,215,"September 5, 1993",us,4,NC State,PHO,
1,8,PF,6-9,220,"September 21, 1990",us,8,Wake Forest,POR,
2,2,PG,6-4,200,"March 29, 1996",us,2,Vanderbilt,POR,
3,33,C,7-0,235,"November 19, 1997",us,1,Gonzaga,POR,
4,31,SG,6-2,185,"August 23, 1990",us,4,"Liberty, Duke",POR,
5,4,SF,6-9,220,"May 11, 1993",us,6,St. John's,POR,
6,5,SG,6-8,206,"October 20, 1992",us,4,"Mississippi State, Duke",POR,
7,0,C,6-11,250,"May 20, 1992",ch,7,,POR,
8,17,PF,6-11,235,"March 18, 1996",ht,2,Kentucky,POR,
9,10,SF,6-9,215,"March 7, 1994",us,2,Maryland,POR,
10,11,C,7-1,255,"February 27, 1992",us,6,Illinois,POR,
11,0,PG,6-3,195,"July 15, 1990",us,6,Weber State,POR,
12,3,SG,6-3,190,"September 19, 1991",us,5,Lehigh,POR,
13,27,C,7-0,275,"August 23, 1994",ba,4,,POR,
14,24,SG,6-4,185,"June 8, 1999",us,R,,POR,
15,6,SG,6-6,205,"October 7, 1993",ca,4,Michigan,POR,
16,50,PF,6-9,250,"April 18, 1997",us,1,Purdue,POR,
17,9,SG,6-6,205,"January 18, 1999",us,R,Duke,POR,
18,1,PG,6-7,220,"October 27, 1988",us,8,Ohio State,POR,
1,35,PF,6-11,234,"March 14, 1999",us,R,Duke,SAC,
2,40,SF,6-8,225,"May 30, 1992",us,6,UNC,SAC,
3,88,PF,6-10,234,"May 9, 1988",rs,3,,SAC,
4,8,SG,6-6,205,"August 18, 1992",rs,1,,SAC,
5,33,SF,6-9,186,"March 5, 1986",us,11,Florida,SAC,
6,13,SG,6-6,214,"July 20, 1991",us,7,Colorado,SAC,
7,0,C,7-0,240,"August 18, 1993",us,3,Kentucky,SAC,
8,3,PG,6-0,180,"May 9, 1993",us,2,Indiana,SAC,
9,5,PG,6-3,175,"December 20, 1997",us,1,Kentucky,SAC,
10,20,PF,6-10,240,"April 22, 1998",us,R,Duke,SAC,
11,24,SG,6-4,214,"December 17, 1992",bs,2,Oklahoma,SAC,
12,25,SF,6-8,210,"March 28, 1995",us,1,UNC,SAC,
13,9,SF,6-7,200,"December 21, 1995",us,R,"Syracuse, La Salle",SAC,
14,41,C,7-0,245,"February 24, 1989",us,10,Ohio State,SAC,
15,7,PF,6-11,235,"March 18, 1996",ht,2,Kentucky,SAC,
16,10,PG,5-11,190,"April 3, 1994",us,1,Kansas,SAC,
17,23,SG,6-5,201,"February 11, 1993",us,5,Kansas,SAC,
18,9,SG,6-5,215,"June 26, 1990",us,7,Georgia Tech,SAC,
19,50,PF,6-9,250,"April 18, 1997",us,1,Purdue,SAC,
20,19,SF,6-7,218,"December 30, 1994",us,2,Indiana,SAC,
1,12,C,6-11,260,"July 19, 1985",us,12,Texas,SAS,
2,18,SG,6-5,210,"March 25, 1986",it,11,,SAS,
3,42,PF,6-10,225,"November 12, 1992",lv,2,,SAS,
4,33,PF,6-8,230,"April 22, 1987",us,9,Villanova,SAS,
5,10,SG,6-7,220,"August 7, 1989",us,9,USC,SAS,
6,14,PF,6-10,245,"February 1, 1997",us,R,Oregon State,SAS,
7,11,SG,6-3,190,"July 23, 1993",us,2,Michigan State,SAS,
8,16,C,7-0,250,"July 6, 1980",es,17,,SAS,
9,22,PF,6-8,230,"August 17, 1986",us,12,UConn,SAS,
10,7,PF,6-10,225,"March 22, 1997",us,R,USC,SAS,
11,8,PG,6-0,180,"August 11, 1988",au,9,Saint Mary's,SAS,
12,28,PF,7-0,222,"September 20, 1990",lt,5,,SAS,
13,25,C,7-0,230,"October 15, 1995",at,2,Utah,SAS,
14,3,SF,6-7,230,"March 10, 1988",us,6,Washington,SAS,
15,1,SG,6-5,205,"December 14, 1998",us,R,Miami (FL),SAS,
16,4,PG,6-4,190,"July 2, 1994",us,1,Colorado,SAS,
1,3,SF,6-8,232,"July 17, 1997",gb,1,Indiana,TOR,
2,25,PF,6-10,200,"January 11, 1993",lc,1,Oregon,TOR,
3,4,PG,6-5,189,"August 26, 1990",us,4,NC State,TOR,
4,33,C,7-1,255,"January 29, 1985",es,10,,TOR,
5,14,SG,6-6,215,"June 22, 1987",us,9,UNC,TOR,
6,9,C,6-10,235,"September 18, 1989",cg,9,,TOR,
7,2,SF,6-7,230,"June 29, 1991",us,7,San Diego State,TOR,
8,17,PG,6-3,200,"August 23, 1988",us,8,Harvard University,TOR,
9,7,PG,6-1,196,"March 25, 1986",us,12,Villanova,TOR,
10,8,PG,6-4,210,"July 27, 1993",us,R,"Furman University, University of Indianapolis",TOR,
11,1,SG,6-7,185,"October 25, 1995",us,2,UNLV,TOR,
12,20,SG,6-4,210,"August 21, 1987",us,9,Kentucky,TOR,
13,0,SF,6-6,220,"March 18, 1987",us,13,,TOR,
14,13,SF,6-7,210,"March 6, 1993",us,1,Holy Cross,TOR,
15,15,C,6-11,265,"June 4, 1990",us,8,Georgetown,TOR,
16,15,PF,6-10,238,"December 24, 1991",us,3,Oregon State,TOR,
17,24,SG,6-4,215,"May 25, 1993",us,3,UCLA,TOR,
18,22,SG,6-6,205,"January 5, 1996",us,2,Syracuse,TOR,
19,43,PF,6-9,230,"April 2, 1994",cm,2,New Mexico State,TOR,
20,17,C,7-0,265,"May 6, 1992",lt,6,,TOR,
21,23,PG,6-0,195,"February 25, 1994",us,2,Wichita State,TOR,
22,55,PG,6-5,183,"April 26, 1992",us,3,Utah,TOR,
1,24,SG,6-5,198,"October 8, 1995",us,R,Duke,UTA,
2,13,C,6-10,248,"January 8, 1998",us,1,UNC,UTA,
3,10,SG,6-6,214,"July 20, 1991",us,7,Colorado,UTA,
4,34,PF,6-9,238,"February 9, 1994",us,1,George Washington,UTA,
5,99,SF,6-6,235,"July 6, 1990",us,6,Marquette,UTA,
6,11,PG,6-6,190,"July 13, 1995",au,3,,UTA,
7,15,C,6-10,265,"July 15, 1991",us,8,Georgia Tech,UTA,
8,27,C,7-1,245,"June 26, 1992",fr,5,,UTA,
9,2,PF,6-8,226,"October 2, 1987",au,4,,UTA,
10,26,SG,6-7,212,"March 17, 1981",us,15,Creighton,UTA,
11,45,SG,6-3,215,"September 7, 1996",us,1,Louisville,UTA,
12,30,SG,6-4,218,"August 3, 1993",ca,1,Iowa State,UTA,
13,25,PG,6-1,179,"May 19, 1992",br,3,,UTA,
14,31,PF,6-8,230,"June 17, 1993",us,2,Iowa State,UTA,
15,23,SF,6-6,226,"June 5, 1993",us,1,Baylor,UTA,
16,3,PG,6-4,190,"October 21, 1990",es,7,,UTA,
17,22,SF,6-7,220,"May 2, 1984",ch,12,,UTA,
18,33,C,6-10,245,"May 20, 1987",us,6,"Michigan, Baylor",UTA,
1,1,SF,6-8,215,"June 30, 1985",us,14,UCLA,WAS,
2,84,SG,6-4,220,"March 30, 1993",us,2,Wichita State,WAS,
3,3,SG,6-5,207,"June 28, 1993",us,6,Florida,WAS,
4,6,SF,6-7,215,"July 28, 1999",us,R,Oregon,WAS,
5,13,C,6-11,248,"July 31, 1997",us,1,Indiana,WAS,
6,8,PF,6-9,230,"May 6, 1994",us,3,Wisconsin,WAS,
7,32,PF,6-9,235,"August 28, 1986",us,10,Georgetown,WAS,
8,21,C,6-11,265,"December 8, 1985",us,14,,WAS,
9,20,SG,6-4,215,"March 6, 1991",us,5,Vanderbilt,WAS,
10,4,SF,6-7,215,"July 11, 1987",us,8,"Iowa State, Syracuse",WAS,
11,28,C,6-11,262,"November 5, 1986",fr,10,,WAS,
12,52,SG,6-5,179,"March 28, 1991",us,2,Tennessee,WAS,
13,5,PF,6-10,245,"September 2, 1989",us,7,Kansas,WAS,
14,12,SF,6-7,205,"December 9, 1995",us,3,Kansas,WAS,
15,12,PF,6-8,245,"March 15, 1995",us,4,Duke,WAS,
16,4,PG,6-3,190,"December 1, 1992",us,2,Oregon State,WAS,
17,22,SF,6-8,198,"June 3, 1993",us,5,Georgetown,WAS,
18,5,PF,6-11,250,"February 10, 1995",us,3,Arkansas,WAS,
19,9,PG,6-2,185,"February 5, 1993",us,1,Stanford,WAS,
20,1,SG,6-4,200,"August 1, 1992",us,6,Duke,WAS,
21,7,SF,6-8,200,"March 7, 1995",us,1,Florida,WAS,
22,31,PG,6-7,210,"October 30, 1991",cz,2,,WAS,
23,14,C,7-0,240,"March 2, 1986",us,10,Colorado State,WAS,
24,2,PG,6-4,210,"September 6, 1990",us,8,Kentucky,WAS,
25,15,PF,6-8,205,"August 13, 1992",us,2,Florida State,WAS,
