Team,FULLNAME,ABB_FANDUEL,ABB_REF,ABB_NBA,IDNUM
ATL,Atlanta Hawks,ATL,ATL,ATL,1610612737
BOS,Boston Celtics,BOS,BOS,BOS,1610612738
BRK,Brooklyn Nets,BKN,BRK,BKN,1610612751
CHI,Chicago Bulls,CHA,CHI,CHI,1610612741
CHO,Charlotte Hornets,CHI,CHO,CHA,1610612766
CLE,Cleveland Cavaliers,CLE,CLE,CLE,1610612739
DAL,Dallas Mavericks,DAL,DAL,DAL,1610612742
DEN,Denver Nuggets,DEN,DEN,DEN,1610612743
DET,Detroit Pistons,DET,DET,DET,1610612765
GSW,Golden State Warriors,GS,GSW,GSW,1610612744
HOU,Houston Rockets,HOU,HOU,HOU,1610612745
IND,Indiana Pacers,IND,IND,IND,1610612754
LAC,LA Clippers,LAC,LAC,LAC,1610612746
LAL,Los Angeles Lakers,LAL,LAL,LAL,1610612747
MEM,Memphis Grizzlies,MEM,MEM,MEM,1610612763
MIA,Miami Heat,MIA,MIA,MIA,1610612748
MIL,Milwaukee Bucks,MIL,MIL,MIL,1610612749
MIN,Minnesota Timberwolves,MIN,MIN,MIN,1610612750
NOP,New Orleans Pelicans,NO,NOP,NOP,1610612740
NYK,New York Knicks,NY,NYK,NYK,1610612752
OKC,Oklahoma City Thunder,OKC,OKC,OKC,1610612760
ORL,Orlando Magic,ORL,ORL,ORL,1610612753
PHI,Philadelphia 76ers,PHI,PHI,PHI,1610612755
PHO,Phoenix Suns,PHO,PHO,PHX,1610612756
POR,Portland Trail Blazers,POR,POR,POR,1610612757
SAC,Sacramento Kings,SA,SAC,SAC,1610612758
SAS,San Antonio Spurs,SAC,SAS,SAS,1610612759
TOR,Toronto Raptors,TOR,TOR,TOR,1610612761
UTA,Utah Jazz,UTA,UTA,UTA,1610612762
WAS,Washington Wizards,WAS,WAS,WAS,1610612764